date,rowNum,sp500,earnQ,earn,EG,etop,div,DG,DtoP,cci,DtoE,mich,tcm1y,consumer,infl12
1960-01-05,1,55.91,,3.53,-0.1371,6.31,2.00,-0.032,3.58,100.010,0.57,104.20,5.03,29.37,2.00
1960-02-04,2,55.91,,3.53,-0.1371,6.31,2.05,-0.032,3.66,100.010,0.58,99.61,4.66,29.41,2.00
1960-03-05,3,55.21,,3.60,-0.1371,6.52,1.92,-0.032,3.48,100.010,0.53,96.20,4.02,29.41,2.00
1960-04-05,4,55.19,,3.52,-0.1371,6.38,1.87,-0.032,3.38,100.010,0.53,93.96,4.04,29.54,2.00
1960-05-05,5,54.98,,3.44,-0.1371,6.26,1.81,-0.032,3.30,100.010,0.53,92.91,4.21,29.57,2.00
1960-06-05,6,56.67,,3.36,-0.1371,5.93,1.76,-0.032,3.11,100.010,0.52,93.03,3.36,29.61,2.00
1960-07-05,7,56.03,,3.21,-0.1371,5.73,1.80,-0.032,3.21,100.010,0.56,97.53,3.20,29.55,2.00
1960-08-05,8,56.32,,3.07,-0.1371,5.45,1.84,-0.032,3.27,100.010,0.60,97.61,2.95,29.61,2.00
1960-09-04,9,55.05,,2.92,-0.1371,5.30,1.88,-0.032,3.42,100.010,0.64,96.46,3.07,29.61,2.00
1960-10-04,10,53.45,,3.01,-0.1371,5.63,1.99,-0.032,3.72,100.010,0.66,91.19,3.04,29.75,2.00
1960-11-04,11,54.96,,3.11,-0.1371,5.66,2.09,-0.032,3.81,100.010,0.67,89.78,3.08,29.78,2.00
1960-12-04,12,56.71,,3.20,-0.1371,5.64,2.20,-0.032,3.88,100.010,0.69,89.33,2.86,29.81,2.00
1961-01-04,13,59.72,,3.09,-0.1371,5.17,2.09,0.0519,3.51,100.010,0.68,91.19,2.81,29.84,1.60
1961-02-03,14,62.48,,2.99,-0.1759,4.79,1.99,-0.0319,3.18,100.010,0.66,91.62,2.93,29.84,1.46
1961-03-06,15,64.23,,2.88,-0.2466,4.48,1.88,-0.0213,2.93,100.010,0.65,91.99,2.88,29.84,1.46
1961-04-05,16,66.00,,2.96,-0.1860,4.48,1.84,-0.0134,2.79,100.010,0.62,91.34,2.88,29.81,0.91
1961-05-06,17,66.07,,3.04,-0.1286,4.60,1.80,-0.0064,2.72,100.010,0.59,92.29,2.87,29.84,0.91
1961-06-05,18,65.69,,3.12,-0.0750,4.75,1.76,0.0000,2.68,100.010,0.56,93.87,3.06,29.84,0.78
1961-07-05,19,65.79,,3.08,-0.0421,4.68,1.83,0.0127,2.78,100.010,0.59,98.88,2.92,29.92,1.25
1961-08-05,20,67.71,,3.04,-0.0100,4.49,1.89,0.0268,2.80,100.010,0.62,99.68,3.06,29.94,1.11
1961-09-04,21,67.29,,3.00,0.0278,4.46,1.96,0.0426,2.91,100.010,0.65,99.04,3.06,29.98,1.25
1961-10-05,22,67.69,,3.00,-0.0034,4.43,1.96,-0.0145,2.90,100.010,0.65,93.13,3.05,29.98,0.77
1961-11-04,23,70.16,,3.00,-0.0362,4.28,1.96,-0.0741,2.79,100.010,0.65,92.51,3.07,29.98,0.67
1961-12-05,24,71.71,,3.00,-0.0641,4.18,1.96,-0.1364,2.73,100.010,0.65,93.36,3.18,30.01,0.67
1962-01-04,25,69.98,,3.20,0.0357,4.57,1.96,-0.0730,2.80,100.010,0.61,99.29,3.28,30.04,0.67
